Text;Size;Color;Angle;Font;Repeat;URL
周冬雨;92;Random;Random;Random;Yes;
井柏然;58;Random;Random;Random;Yes;
台词矫情;57;Random;Random;Random;Yes;
爱情;49;Random;Random;Random;Yes;
前任;44;Random;Random;Random;Yes;
剧情;41;Random;Random;Random;Yes;
奶茶;37;Random;Random;Random;Yes;
情怀;35;Random;Random;Random;Yes;
最后;32;Random;Random;Random;Yes;
喜欢;30;Random;Random;Random;Yes;
一星;26;Random;Random;Random;Yes;
如果;23;Random;Random;Random;Yes;
青春;22;Random;Random;Random;Yes;
亲情;19;Random;Random;Random;Yes;
不负此生真的很难;18;Random;Random;Random;Yes;
现实;18;Random;Random;Random;Yes;
呵呵;17;Random;Random;Random;Yes;
营销;16;Random;Random;Random;Yes;
做作;15;Random;Random;Random;Yes;
文艺;13;Random;Random;Random;Yes;
烂;13;Random;Random;Random;Yes;
镜头;13;Random;Random;Random;Yes;
一般;12;Random;Random;Random;Yes;
成功;12;Random;Random;Random;Yes;
三星;11;Random;Random;Random;Yes;
处女作;11;Random;Random;Random;Yes;
共鸣;11;Random;Random;Random;Yes;
恋爱;11;Random;Random;Random;Yes;
摄影;10;Random;Random;Random;Yes;
怀念;9;Random;Random;Random;Yes;
再见;9;Random;Random;Random;Yes;
打拼;8;Random;Random;Random;Yes;
